Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-11-28,4817.09,4824.43,4800.89,4811.44,9274984
2017-11-29,4805.62,4816.82,4748.73,4760.45,20025623
2017-11-30,4739.37,4765.5,4736.66,4750.25,32140351
2017-12-01,4752.52,4760.92,4694.98,4724,11252258
2017-12-04,4722.98,4749.17,4684.59,4740.69,6248339
2017-12-05,4732.04,4776.45,4732.04,4772.56,10683328
2017-12-06,4757.13,4758.87,4710.5,4741.19,9230248
2017-12-07,4745.5,4769.77,4734.48,4745.32,7126344
2017-12-08,4750.83,4757.34,4720.96,4734.98,6937151
2017-12-11,4738.83,4751.38,4701.16,4715.39,6123491
2017-12-12,4714.43,4744.68,4704.68,4744.68,9119459
2017-12-13,4744.45,4766.29,4739.11,4766.29,11015919
2017-12-14,4773.95,4775.45,4713.45,4737.36,10655541
2017-12-15,4739.56,4744.23,4712.12,4733.96,13113880
2017-12-18,4735.59,4759.9,4728.16,4759.9,7093988
2017-12-19,4762.19,4780.92,4753.48,4780.92,9929918
2017-12-20,4784.75,4785.15,4740.56,4753.85,10145155
2017-12-21,4743.42,4772,4738.61,4772,9688404
2017-12-22,4764.01,4786.87,4764.01,4785.76,9986375
2017-12-27,4791.47,4825.75,4785.01,4825.75,27136578
2017-12-28,4838.82,4850.76,4827.29,4849.99,12602612
2017-12-29,4836.54,4850.45,4827.26,4847.27,8871153
2018-01-03,4876.56,4902.66,4845.26,4871.9,6984084
2018-01-04,4888.22,4924.17,4888.22,4923.66,14763225
2018-01-05,4934.64,4939.36,4923.55,4935.36,7473405
2018-01-08,4944.49,4972.89,4943.58,4972.89,7589058
2018-01-09,4974.86,4986,4929.64,4955.22,10156030
2018-01-10,4948.59,4948.59,4875.6,4887.38,7653315
2018-01-11,4891.23,4915.4,4864.26,4911.5,8024728
2018-01-12,4920.37,4933.1,4903.01,4907.68,6604433
2018-01-15,4914.15,4919.69,4893.47,4897.63,4516161
2018-01-16,4909.01,4933.65,4895.89,4931.21,9132698
2018-01-17,4943.59,4974.99,4938.31,4969.73,7606248
2018-01-18,4984.42,5026.43,4970.05,5024.21,8835731
2018-01-19,5035.92,5038.05,5005.85,5024.2,8919900
2018-01-22,5033.48,5045.2,5014.37,5044.48,6029018
2018-01-23,5066.18,5085.99,5031.06,5069.12,6904563
2018-01-24,5059.7,5077.17,5035.87,5060.08,5585139
2018-01-25,5052.5,5056.11,4998.45,4998.45,6780239
2018-01-26,5004.35,5030.8,4990.54,5018.59,5989301
2018-01-29,5036.44,5041.25,5002.62,5024.91,18943551
2018-01-30,5019.09,5019.09,4956.55,4988.05,8832810
2018-01-31,4994.55,5028.18,4989.77,5023.24,8768668
2018-02-01,5013.05,5030.96,4940.87,4982.01,11108573
2018-02-02,4970.32,4981.49,4935.05,4958.21,6625689
2018-02-05,4907.67,4909.6,4860.2,4875.74,7716477
2018-02-06,4689.98,4770.32,4689.98,4749.82,15725441
2018-02-07,4777.92,4807.77,4765.51,4799.73,8453687
2018-02-08,4807.02,4817.33,4789.39,4790.38,10779292
2018-02-09,4726.27,4759.95,4709.71,4725.82,8581795
2018-02-12,4746.16,4769.42,4744.37,4745.67,5776065
2018-02-13,4765.13,4783.86,4758.8,4773.73,4619734
2018-02-14,4785.84,4816.88,4784.09,4814.31,5784563
2018-02-15,4839.16,4858.13,4820.49,4820.49,5742359
2018-02-16,4831.17,4854.93,4801.22,4829.21,13911730
2018-02-19,4828.33,4832.75,4812.14,4815.5,8172910
2018-02-20,4808.28,4817.84,4780.73,4806.4,4748111
2018-02-21,4801.83,4812.14,4760.33,4777.82,5997573
2018-02-22,4767.09,4791.06,4720.94,4788.18,6783384
2018-02-23,4794.92,4806.82,4774.69,4792.61,5520420
2018-02-26,4803.32,4803.32,4771.37,4782.37,7006137
2018-02-27,4791.71,4804.38,4753.57,4789.88,6755173
2018-02-28,4759.77,4762.26,4706.14,4720.88,9125447
2018-03-01,4708.33,4713.56,4658.26,4693.9,7203528
2018-03-02,4668.07,4694.34,4648.79,4648.79,6240997
2018-03-05,4643.59,4687.29,4642.84,4664.04,5426714
2018-03-06,4680.13,4701.31,4676.12,4690.23,5797915
2018-03-07,4682.54,4744.35,4669.38,4744.35,5283464
2018-03-08,4751.51,4773.22,4730.45,4751.55,4430010
2018-03-09,4742.39,4779.6,4710.78,4779.6,4104236
2018-03-12,4788.86,4818.17,4777.53,4818.17,4301145
2018-03-13,4823.1,4826.16,4795.45,4801.5,5538366
2018-03-14,4791.96,4792.52,4762.2,4791.67,3584155
2018-03-15,4796.12,4800.94,4776.32,4794.25,4173805
2018-03-16,4785.72,4785.97,4737.15,4753.7,8118001
2018-03-19,4770.12,4770.12,4698.06,4714.94,4199205
2018-03-20,4706.96,4719.05,4672.99,4698.32,6449552
2018-03-21,4706,4735.44,4701.34,4735.44,7052363
2018-03-22,4728.41,4746.61,4645.25,4652,6730910
2018-03-23,4626.77,4635.65,4599.93,4611.8,5862815
2018-03-26,4604.79,4614.31,4557.61,4557.61,5624828
2018-03-27,4594.24,4608,4560.21,4566.1,5858154
2018-03-28,4557.36,4557.36,4514.03,4531.28,8819438
2018-03-29,4539.87,4582.96,4538.59,4554.89,9006562
2018-04-03,4546.27,4588.54,4545.47,4559.4,6190714
2018-04-04,4574.04,4599.98,4569.35,4599.98,10371438
2018-04-05,4600.55,4643.76,4600.55,4636.68,6922963
2018-04-06,4635.04,4655.67,4618.44,4655.67,7874787
2018-04-09,4650.7,4678.45,4641,4670.85,5235627
2018-04-10,4667.55,4668.55,4633.94,4641.66,7009584
2018-04-11,4647.68,4672.98,4616.83,4631.45,6958126
2018-04-12,4630.61,4668.25,4628.66,4650.82,10105316
2018-04-13,4660.61,4666.16,4645.6,4655.49,9412279
2018-04-16,4660.39,4660.52,4641.16,4646.45,4181168
2018-04-17,4643.51,4647.26,4609.75,4618.28,5638363
2018-04-18,4620.95,4648,4618.02,4648,4623541
2018-04-19,4651.02,4669.33,4640.47,4641.43,4087046
2018-04-20,4650.47,4657.52,4629.97,4633.61,4905813
2018-04-23,4632.14,4636.55,4607.15,4607.15,4271344
2018-04-24,4614.67,4619.09,4576.2,4576.2,5108930
2018-04-25,4577.53,4583.73,4559.63,4569.83,8705509
2018-04-26,4562.2,4582.42,4558.08,4558.08,5708420
2018-04-27,4565.61,4581.36,4549.92,4570.82,6896586
2018-04-30,4551.62,4576.68,4550.08,4571.37,5016546
2018-05-02,4562.65,4611.95,4560.06,4611.95,3308138
2018-05-04,4597.43,4616.77,4543.23,4561.85,3047207
2018-05-07,4569.48,4584.04,4559.83,4576.01,2527069
2018-05-08,4583.03,4583.49,4539.22,4554.32,5818919
2018-05-09,4554.18,4587.41,4547.23,4571.12,6981947
2018-05-10,4574.07,4594.31,4570.3,4574.16,4996471
2018-05-11,4572,4644.98,4572,4644.42,6676212
2018-05-14,4644.28,4680.01,4644.28,4673.45,7959291
2018-05-15,4664.4,4664.4,4583.43,4588.76,7036105
2018-05-16,4606,4618,4587.53,4618,12493323
2018-05-17,4601.39,4608.82,4574.89,4595.58,3916834
2018-05-18,4579.82,4583.64,4531.38,4535.43,7699317
2018-05-21,4548.4,4559.66,4511.61,4515.23,5362255
2018-05-22,4510.8,4522.21,4500.64,4520.4,6044655
2018-05-23,4503.03,4508.27,4431.88,4433.96,7377174
2018-05-24,4447.23,4468.24,4439.08,4466.56,9256265
2018-05-25,4457.35,4476.2,4440.84,4475.77,6529373
2018-05-28,4464.62,4475.15,4457.29,4469.45,7374479
2018-05-29,4472,4481.19,4432.06,4480.62,7696237
2018-05-30,4451.88,4500.78,4431.62,4500.78,15550698
2018-06-01,4484.45,4508.35,4455.53,4508.35,3587640
2018-06-04,4520.18,4524.79,4480.05,4504.89,6413843
2018-06-05,4499.8,4518.12,4488.44,4518.12,4355671
2018-06-06,4522.51,4539.29,4511.1,4513.16,4886356
2018-06-07,4521.44,4554.22,4518.36,4537.77,4549364
2018-06-08,4523.32,4535.56,4514.16,4525.76,4715464
2018-06-11,4528.96,4537.84,4505.79,4505.79,3319570
2018-06-12,4512.3,4526.24,4481.47,4493.71,2999748
2018-06-13,4490.26,4503.06,4466.31,4477.86,3941284
2018-06-14,4485.69,4485.69,4445.18,4448.69,4472099
2018-06-15,4443.57,4447.86,4340.93,4340.93,10184746
2018-06-18,4346.39,4361.18,4259.43,4259.43,4546980
2018-06-19,4206.38,4263.13,4195.28,4262.79,6304038
2018-06-20,4258.8,4325.25,4258.8,4311.72,5676778
2018-06-21,4317.4,4323.73,4267.52,4271.53,4435604
2018-06-22,4275.18,4285.77,4261.78,4273.16,9012092
2018-06-25,4244.18,4277.74,4234.01,4249.43,9033308
2018-06-26,4256.69,4260.34,4229.77,4235.37,5398325
2018-06-27,4226.61,4253.31,4219.19,4251.98,14281228
2018-06-28,4234.91,4239.29,4189.58,4196.43,11859452
2018-06-29,4168.59,4238.72,4168.59,4219.73,5524453
